"Structure [idcode]","Molecule Name","cas.rn","molecular.formula","molecular.weight","Dataset Name","Ref","Ref 2","BBDD","CSD","Code","Calculations","cas.index.name"
"ehZP@D@@O@SprRJJJIIJJKZJIEIK[QJsJY{[zxFh@h@h@@@@@@@@@@ !B@hchDw?~@Oy}bCBRTW}}mwvH@h`BbN`SzALn_w?~_?xBbGvHTW?gDsBm_[]}bGvH_X`n_ry?_?y??`JHLJu}b@","Phosphine, (phenylmethylene)bis[diphenyl-","60398-56-3","C31H26P2","460.49","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2020/cc/c9cc07713h<NL>-<NL>-<NL>-<NL>-<NL>-<NL>https://link.springer.com/article/10.1007/BF00167010<NL>-","Chemical Communications (Cambridge, United Kingdom) (2020), 56(14), 2139-2142<NL>Patent<NL>Patent<NL>Patent<NL>Patent<NL>Transition Metal Chemistry (London) (1998), 23(3), 221-226<NL>Transition Metal Chemistry (London) (1995), 20(2), 120-2<NL>Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999) (1976), (11), 1205-9","","SUKBAE (Mn)","MS-25","Opt, SPE, NoRh",""
"ehZP@D@@O@SprRJJJIIJJKZJIEIK[QJsJY{[zxFjjjjhJj`jbjJ@@@ !B@hchDw?~@Oy}bCBRTW}}mwvH@h`BbN`SzAM??by?_?xBbGvHTW}}mwvHLJwgDwvH_Xa??g?~Kg|n_pJH_XcgDp","","3055037-46-9","C31H50P2","484.68","monosubstituted C-bridge","https://pubs.acs.org/doi/10.1021/acs.inorgchem.4c00751","Inorganic Chemistry (2024), 63(36), 16610-16621","","0 structures","MS-26","Opt, SPE, NoRh",""
"ehZPDD@HD@OAcpJHaDQHRDaDQDbDbDcHeDQLxd\zBfN~^Ajj@J@Jj`@@B@@H@Z@ !BZNpQ_{\BXBUDj{]}bj|LNH@vmZ~w@oy?`Df@RPqGCD]}m{_|@ha??oy?@OxLNHjomZ~@MhAI`DdLQpqGbj~@M`","","1791455-19-0","C29H32O2P2","474.51","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2015/cc/c5cc03517a","Chemical Communications (Cambridge, United Kingdom) (2015), 51(50), 10206-10209","","MUDCOF (Pt)","MB-105","Opt, SPE, NoRh",""
"ehZR@DDJFNA@O@cphdSldbabTTtTTTRRRRVvPpZnF^V~NAjffjjjjjjjjj`@G|PTD !Bb@I??gvw?`BH_X`BmpJH_Xa}dcC~@G}Q?g~H@aOh@BzH@k\BkT|SzHa}bGvRLIHp?`C~@G}Q_uFH@`@nmpHSz@","Phosphonous diamide, N,N,N′,N′-tetracyclohexyl-P-(diazo-1-phosphiranylmethyl)-","250723-39-8","C27H48N4P2","490.65","substituted bridge","https://www.sciencedirect.com/science/article/abs/pii/S138716090088545X?via%3Dihub","Comptes Rendus de l'Academie des Sciences, Serie IIc: Chimie (1999), 2(5-6), 351-357","","0 structures","DS-53","Opt, SPE, NoRh","Phosphonous diamide, N,N,N′,N′-tetracyclohexyl-P-(diazo-1-phosphiranylmethyl)-"
"ehZX@D@@`O@SprRJJJIIJJKZJIEIK[QJsJY{[zxFh@h@h@@@@@@@@@@ !B@hchDw?~@Oy}bCBRTW}}mwvH@h`BbN`SzALn_w?~@ha??gvHTW?gDsBm_[]}bGvH_X`n_ry?_?y??g?~LJu}b@","2-[Bis(diphenylphosphino)methyl]pyridine","60398-55-2","C30H25NP2","461.47","monosubstituted C-bridge","","7 references","","QIWCOO (Fe), QIWDIJ (Ir, tridentate)","MS-27","Opt, SPE, NoRh",""
"ehZX@D@G`O@SprRJJJIIJJKZJIEIK[QJsJY{[zxFh@h@h@@@@@@@@@@ !B@hchDw?~@Oy}bCBRTW}}mwvH@h`BbN`SzALn_w?~_?xBbGvHTW?gDsBm_[]}bGvH_X`n_ry?_?y??`JHLJu}b@","4-[Bis(diphenylphosphino)methyl]pyridine","1638745-39-7","C30H25NP2","461.47","monosubstituted C-bridge","https://pubs.acs.org/doi/10.1021/ic501566u","Inorganic Chemistry (2014), 53(24), 12739-12756","","0 structures","MS-28","Opt, SPE, NoRh",""
"edTPJN@HDNO@`O@aph\FOBIpJ\Jg@hbDQHaHaHaHQHEDbDQHaHbehZjjjjjBj`jj@@@ !BYmUfrg?~F]Tr?g?~?cK~_qgUuV[JFSK~?dw~LagUF\kJYlhYuQeM?f[JrfYfuQgJ?dw~STw~?cK~SV[JragUYmTY","Phosphonous acid, [phenyl[(trimethylsilyl)oxy]methylene]bis-, tetrakis(trimet...","67472-34-8","C22H50O5P2Si5","597.00","substituted bridge","-<NL>https://pubs.rsc.org/en/content/articlelanding/1978/c3/c3978000285b","Zeitschrift fuer Chemie (1989), 29(11), 408-9<NL>Journal of the Chemical Society, Chemical Communications (1978), (7), 285-6","","0 structures","DS-54","Opt, SPE, NoRh","Phosphonous acid, [phenyl[(trimethylsilyl)oxy]methylene]bis-, tetrakis(trimethylsilyl) ester"
"edTTBN@NIhDO@`O@aph\FOBIpJ\Jg@hbDQHaHaHaHQHEDbDQHaHbehZjjjjjBj`jj@@@ !BF\hYuPC~YliM?`C~?cK~_v[JragUYdw~?cK~SV[UYlkJYlhYuQdYuSK~rfXYrf[U?dw~SQgUragUYcK~?dw~LmTY","P,P,P′,P′-Tetrakis(trimethylsilyl) P,P′-[3-pyridinyl[(trimethylsilyl)amino]me...","1606176-25-3","C21H50N2O4P2Si5","597.01","substituted bridge","https://link.springer.com/article/10.1134/S1070363215020048<NL>https://onlinelibrary.wiley.com/doi/10.1002/hc.21220<NL>https://link.springer.com/article/10.1134/S1070363214030335","Russian Journal of General Chemistry (2015), 85(2), 370-379<NL>Heteroatom Chemistry (2015), 26(1), 101-105<NL>Russian Journal of General Chemistry (2014), 84(3), 605-607","","0 structures","DS-55","Opt, SPE, NoRh","Phosphonous acid, P,P′-[3-pyridinyl[(trimethylsilyl)amino]methylene]bis-, P,P,P′,P′-tetrakis(trimethylsilyl) ester"
"edTXBN@NHDO@`O@aph\FOBIpJ\Jg@hbDQHaHaHaHQHEDbDQHaHbehZjjjjjBj`jj@@@ !BF]TYr`C~S_yfr`C~?cK~_tw~?cK~SV[JuV[JFV[UYlkJYmTYradYuSK~rfYfuQgJ?dw~SQgUragUYcK~?dw~LlhY","P,P,P′,P′-Tetrakis(trimethylsilyl) P,P′-[phenyl[(trimethylsilyl)amino]methyle...","1606176-24-2","C22H51NO4P2Si5","596.02","substituted bridge","https://link.springer.com/article/10.1134/S1070363215020048<NL>https://onlinelibrary.wiley.com/doi/10.1002/hc.21220<NL>https://link.springer.com/article/10.1134/S1070363214030335","Russian Journal of General Chemistry (2015), 85(2), 370-379<NL>Heteroatom Chemistry (2015), 26(1), 101-105<NL>Russian Journal of General Chemistry (2014), 84(3), 605-607","","0 structures","DS-56","Opt, SPE, NoRh","Phosphonous acid, P,P′-[phenyl[(trimethylsilyl)amino]methylene]bis-, P,P,P′,P′-tetrakis(trimethylsilyl) ester"
"edVP@D@@O@SprRJJJIIJI[QQPiII[ZQVIK_G@oPu@D`EP@@@@@@@@@@ !BARBw?Xc}WwjdiK_|?g~H?Oy?AR@EHK_}m?t@TWh`bOvdiOy?dd}lzIndHGk~_x`B@ED@TWh`^bBH?Xc}[N``^h`B","Phosphine, (phenylethenylidene)bis[diphenyl-","136492-18-7","C32H26P2","472.50","monosubstituted","https://pubs.acs.org/doi/10.1021/jacs.4c01541<NL>https://pubs.acs.org/doi/10.1021/acscatal.0c04199<NL>https://pubs.rsc.org/en/content/articlelanding/1994/dt/dt9940001791<NL>https://www.sciencedirect.com/science/article/abs/pii/S0040403900797528?via%3Dihub<NL>","Journal of the American Chemical Society (2024), 146(19), 13296-13305<NL>ACS Catalysis (2020), 10(24), 14349-14358<NL>Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1972-1999) (1994), (12), 1791-7<NL>Tetrahedron Letters (1991), 32(30), 3631-4<NL>","","0 structures","DS-15","Opt, SPE, NoRh<NL>",""
"edVX@D@@`O@SprRJJJIIJJKZJIEIJ[ZIVYSO[@wPu@E@E@@@@@P@@@@@ !Bb@HSzOy??`BH?W}QdcBw?Xc}bOrH@aOhD~a?Koy?b@K~_xc}dcBmLAOgbOvw?Xc}bOu?Kg|n?g?~_?y?b@HSy{_}","2-[Bis(diphenylphosphino)methyl]-6-methylpyridine","35352-03-5","C31H27NP2","475.50","monosubstituted C-bridge","-<NL>-","Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999) (1976), (11), 1205-9<NL>Journal of the Chemical Society [Section] A: Inorganic, Physical, Theoretical (1971), (22), 3495-9","","0 structures","MS-29","Opt, SPE, NoRh",""
"edVX@D@@`O@SprRJJJIIJJKZJIPiIGZIVYS_G@oPu@E@E@@@D@@@@@@@ !B@k^H@e}z_[\@?ha}?`B[fwvH@k\Bmx`Bb@JiOu}z_?xBb@C~?`Axbv}UfylEHGvH_X`@?jd?jS}_^e}z@haoUPT`","2-[Bis(diphenylphosphino)methyl]-3-methylpyridine","1613546-67-0","C31H27NP2","475.50","monosubstituted C-bridge","https://aces.onlinelibrary.wiley.com/doi/10.1002/asia.201301636","Chemistry - An Asian Journal (2014), 9(4), 1168-1174","","GIYDAV (only ligand)","MS-30","Opt, SPE, NoRh",""
"edVX@D@HPO@SprRJJJIIJI[QQPiII[ZQVIK_G@oPu@E@EP@@@@@@@@@@ !B@EEzHK_}dd}lzIndHGjw?Oy?@ED@TWh`^b@EHK_}bOulzBAzWwjdiK_|?g?~_x`BAR@EHK_}m?vH?Xc}iJS~_x`B","4-[2,2-Bis(diphenylphosphino)ethyl]pyridine","2243981-42-0","C31H27NP2","475.50","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446","","0 structures","MS-31","Opt, SPE, NoRh",""
"edVX@D@K`O@SprRJJJIIJI[QQPiII[ZQVIK_G@oPu@E@EP@@@@@@@@@@ !B@EEzHK_}dd}lzIndHGjw?Oy?@ED@TWh`^b@EHK_}bOulzBAziJQ_^k_|?g~H@oy?AR@EHK_}m?vH?Xc}Wwk~_?y?","3-[2,2-Bis(diphenylphosphino)ethyl]pyridine","2243981-41-9","C31H27NP2","475.50","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446<NL>","","0 structures","MS-32","Opt, SPE, NoRh",""
"edVX@D@N`O@SprRJJJIIJI[QQPiII[ZQVIK_G@oPu@E@EP@@@@@@@@@@ !B@EEzHK_}dd}lzIndHGjw?Oy?@ED@TWh`^b@EHK_}bOulzBAzWwjdiK_|?g~H@oy?AR@EHK_}m?vH?Xc}iJS~_?y?","2-[2,2-Bis(diphenylphosphino)ethyl]pyridine","2243981-40-8","C31H27NP2","475.50","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446<NL>","","0 structures","MS-33","Opt, SPE, NoRh",""
"edVXHD@H``O@SprRJJJIIJJKZJIEIZKZIVYCS[@wPu@E@ER@APAPA@@@@ !B?g}?Kh`BmwvH_ZtpD~_~@Ha}?g?~_w|n_rzH@aOhSk?Ptha}D~^H__x@_uFRLLBYUKnH@h`BD~`SzERDFEO~@IHp","2-[Bis(diphenylphosphino)methyl]-4,5-dihydro-4,4-dimethyloxazole","275377-95-2","C30H29NOP2","481.51","monosubstituted C-bridge","-","Dalton (2000), (7), 1067-1074","","0 structures","MS-34","Opt, SPE, NoRh",""
"edZP@D@@O@SprRJJJIIJJKZJJJEIOZIVYW@Pu@D`ET@AU@@@@@@ !B?H`PUU|E@O{}bGbtec~[i@U_@hc|bAAUDEW~@G?~WpVdf?vHec~w@h`B_[]}b@U_fzP`^`U_?`C~@G?~_?zH?OvH","1,1′-[3-Methyl-2-(1-methylethyl)-1-buten-1-ylidene]bis[1,1-diphenylphosphine]","940912-92-5","C32H34P2","480.56","monosubstituted","https://pubs.acs.org/doi/10.1021/ol0706657","Organic Letters (2007), 9(10), 2031-2033","","0 structures","DS-16","Opt, SPE, NoRh<NL>",""
"edZT@D@@`PO@SprRJJJIIJI[QQPiI[XzQVIKOG_U@E@EP@E@DE@@@@ !Bb@HSzOy?bGw~@G}QdcBH_[]}b@JH@aOhD~`@Koy?mpK~@IHp[N^RLHa}mwvw__x@@Bx@Koy??g~w@iHpmwvw_[\B","N1-[2,2-Bis(diphenylphosphino)ethyl]-N1,N2-dimethyl-1,2-ethanediamine","148763-10-4","C30H34N2P2","484.55","monosubstituted C-bridge","-","Zeitschrift fuer Anorganische und Allgemeine Chemie (1993), 619(5), 869-76","","0 structures","MS-35","Opt, SPE, NoRh",""
"edZT@D@@o`O@SprRJJJIIJI[QQEII[FZQVISW[OU@E@EP@D@PU@@@@ !B?g|@Kk\BbGvw_VsgdcC~@K]}?g?~_p@n@Bzw@fshmpJw_YHpmww~@@AQkSBw_[\BmpIlzFshmpK~@Jtpmwvw@oy?","1,2-Ethanediamine, N′-[2,2-bis(diphenylphosphino)ethyl]-N,N-dimethyl-","148763-11-5","C30H34N2P2","484.55","monosubstituted C-bridge","-","Zeitschrift fuer Anorganische und Allgemeine Chemie (1993), 619(5), 869-76","","LABRAH, WAKVUZ (bimetallic, tetradentate)","MS-36","Opt, SPE, NoRh",""
"ed^P@D@@OAcprRJJJIJIIZJJHiIK[\BZQACK_G@oPuAHAT@@@@@@P@@@@ !BGqhXKAh_f\B{J?x@FEL@?ovwGqh_Fh`BmpI`F`Jw@k^{J?x@bOw~@K_}aBnfpOvwb@JH@k\BmpI`Ff@ZbGvw_Z[@","2-(Diphenylphosphino)-1,3-diphenyl-1H-phosphindole","1801189-82-1","C32H24P2","470.48","monosubstituted","https://pubs.rsc.org/en/content/articlelanding/2015/ob/c5ob00959f","Organic & Biomolecular Chemistry (2015), 13(30), 8221-8231","","HUFNIH (oxidized free ligand)","DS-17","Opt, SPE, NoRh<NL>",""
"elQP@D@@O@SprRJJIQIJJIKQQKYIH{PJpiI[XFzGyFh@`@h@@@@@@@@`@h@@ !Bm?vmLHc}?g~w?Fsh_rzH?K_}bOvw?ZtpkSBH?YHpmpK~_?y?m?q?Koy?bOpSz@@nm?vH?[_}bOvH?YHpdcBw@h`B@Bx","","2425655-00-9","C33H26P2","484.51","methylene bridge","https://pubs.acs.org/doi/10.1021/acs.organomet.0c00283","Organometallics (2020), 39(13), 2511-2525","","0 structures","MB-106","Opt, SPE, SPE_NoRh",""
"elQP@D@@O@SprRJJISSQIIQQ[SRiIZc`KiHXiizDEFjj`B`Bj@@@@``H`bDlcd@@ !BhifU]SFBDoia_SF?~fw]uaKy?`HrIYvYSRWIpaKzDoia_VE}_?yMVehr__{~@ivY~QKy[Yfb@fG}?ow~VcIZLoem@fD","(2R,2′R,5R,5′R)-1,1′-Methylenebis[2,5-diphenylphospholane]","933474-81-8","C33H34P2","492.57","methylene bridge","https://pubs.acs.org/doi/10.1021/om9000583<NL>https://www.sciencedirect.com/science/article/abs/pii/S0040403907000548?via%3Dihub","Organometallics (2009), 28(10), 2993-2999<NL>Tetrahedron Letters (2007), 48(10), 1831-1834","","XUMHAP (Rh)","MB-107","Opt, SPE, SPE_NoRh",""
"elQT@D@Hd`O@SprRJJJQIIQQKZJIUIKXpiriKKXFzGyFh@j@JZ@@h@`B`@@@ !BidkM?gpOfTkR?ieJfST@qCie}RffRjYJs_{M?oHiH]KR?iduWlwR?iduWlvjAoUVj`ZfMZXu|bgrJRGRH]JYMZhFj`X","8,8-Bis(diphenylphosphino)-2,3,4,6,7,8-hexahydropyrrolo[1,2-a]pyrimidine","2100875-48-5","C31H30N2P2","492.53","disubstituted","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejic.201700305","European Journal of Inorganic Chemistry (2017), 2017(20), 2671-2681","","REBCUZ (free ligand)","DS-18","Opt, SPE, NoRh",""
"elRP@D@@OAcprRJKQQQJZJYqQQJZErRskZhHbhj`bJbjj@@@ !Bb@Jw@oy??`BH_[]}b@HSzH`B?g}?Koy?bGu?TYHpbGvw_ZtpD~^H@g|n^KQ?KiIO?`BH_QOgDEViPAOg@EE?KjtpD~\","","1651822-88-6","C33H54P2","512.73","methylene bridge","https://www.sciencedirect.com/science/article/abs/pii/S002016931400752X?via%3Dihub","Inorganica Chimica Acta (2015), 427, 168-172","","XIQPEU (Pd), XIQPIY, XIQPIY01 (Pt)","MB-108","Opt, SPE, NoRh",""
"elVP@D@@O@SpJHaHRDQDQHRDRDRD`TQDaDaEOCDekc`Z`B@JJJ@@@hh@@@@ !Bm?vmLHc}mpK~_w|n[NbH@k_}m?vmLJtpbOvRLOy?mpK~_vsh_rylzOy?b@HSz@@nbOvH?YHpdcBH@oy?b@H@KaOh@Bx","Phosphine, methylenebis[bis(3,5-dimethylphenyl)-","167109-95-7","C33H38P2","496.60","methylene bridge","https://pubs.acs.org/doi/abs/10.1021/om00006a026","Patent<NL>Patent<NL>Patent<NL>Organometallics (1995), 14(6), 2781-9","","0 structures","MB-109","Opt, SPE, NoRh",""
"elVP@D@@O@SpJHaHRDRDRDRDaDRDQHREQDSMLgNghPTZjjjjjjjjjjjjX`bDHSBtcd@@ !B@h`Bmu}z_X`@?`C~_[^[fw?~@h`BbNal@k\Bmzd?Wwi}mwvH@Ox@?eD@LJu}mwvw^HmoUPT`fyniOzd?Wwi_^f}Ufyl","Phosphine, [[bis[(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl]phosphino]me...","235422-48-7","C33H62P2","520.79","methylene bridge","https://www.thieme-connect.de/products/ebooks/lookinside/10.1055/sos-SD-042-00106","Science of Synthesis (2009), 42, 109-154<NL>Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1999), (11), 1867-1876","","0 structures","MB-110","Opt, SPE",""
"elVP@D@@O@SprRJJIIIQ[QPqJIQIQISppKjyZFh@`B`jjjjjjBfKHyHednhm@@ !BWwjiOzRdfylEHGbK[uT`AU}zWwjiOzd?@h`BmpT`[uU}b@C~@Oy}mw?~@h`BbNal@k\Bmwvw_X`@?`C~LJuQ@Gvw_[\","[[Bis[(1R,2S,5R)-5-methyl-2-(1-methylethyl)cyclohexyl]phosphino]methyl]diphen...","235422-50-1","C33H50P2","508.70","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2004/dt/b401585a<NL>https://pubs.rsc.org/en/content/articlelanding/1999/dt/a902139f","Dalton Transactions (2004), (12), 1873-1881<NL>Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1999), (11), 1867-1876","","0 structures","MB-111","Opt, SPE, NoRh",""
"elVP@D@@O@SprRJJIIIQ[QQIIIIZiISppHZyYzh@`B`@J@EBe@@@@ !B_?xn@@Jw?[_}bN]lLIH@?g?~_?xn@Bx@@k_h[OvHLIH@?ovwLJuQ@G?~K`C|mpJwzFsh[Gvwyvs}muD@?K_h[OvwLJt","Phosphine, 1,1′-methylenebis[1,1-bis(4-ethenylphenyl)-, homopolymer","1621859-86-6","(C33H30P2)x","488.54","methylene bridge","https://pubs.acs.org/doi/10.1021/acs.orglett.8b00886<NL>https://pubs.acs.org/doi/10.1021/jacs.5b02122","Patent<NL>Patent<NL>Organic Letters (2018), 20(8), 2494-2498<NL>Journal of the American Chemical Society (2015), 137(15), 5204-5209<NL>Patent","","0 structures","MB-112","Opt, SPE, NoRh",""
"elVP@D@@O@SprRJJIQJIQKKQQqJIKKRIsK[yzFh@bBJH`@``b@@@@ !B?K^diG?~?[\@?b@EARA}bOrw_?xBmzRd^e~di@JH_?x@?gvwAR@`AWvH@Oy}mwvH@ha??orH_?xBmw?~@Oy}bOvH_[\","Phosphine, methylenebis[bis(2-ethylphenyl)-","255885-14-4","C33H38P2","496.60","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2001/cc/b010063n","Chemical Communications (Cambridge, United Kingdom) (2001), (8), 699-700<NL>Patent<NL>Patent","","0 structures","MB-113","Opt, SPE, NoRh",""
"elVP@D@@O@SprRJJIQQQQQVqPqQQQWSKpkZGyFh@bHbh@@bH`@@@@ !B@Fs~apw^jng~\iWijndirjkf?`vjyiWf?`vUyoxMjnXG[g[x?gJjzRgJv^TeAhivC]{Fz`w^UmWn|kTI{oIZ^]gebgX","Phosphine, methylenebis[bis(2,6-dimethylphenyl)-","85903-92-0","C33H38P2","496.60","methylene bridge","-<NL>-","Patent<NL>Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie (1983), 38B(1), 62-6","","0 structures","MB-114","Opt, SPE, NoRh",""
"elVP@D@@O@cprRIIQQQIIIQQ[IIIZhKiHY[xxFjj`B`@@@@hJ@@@@ !B?`BH?[_}m?rH?Oy??`Bw?_x@bOvw?Xc}bOrw?Hc|bOs~_?y??`BH?_x@m?vH?Xc}bOrH?K_|m?rH?Oy?bOvw?Xc|m?p","Phosphine, methylenebis[bis[(4-methylphenyl)methyl]-","866639-42-1","C33H38P2","496.60","methylene bridge","https://www.sciencedirect.com/science/article/abs/pii/S0022328X0500313X?via%3Dihub","Journal of Organometallic Chemistry (2005), 690(16), 3638-3640","","0 structures","MB-115","Opt, SPE, NoRh",""
"elVP@E@@HabHD|KOAJHJbKhczHAbDXcHhdhcEDdhheEJdeDhjNOLegchX@bhHJb@@BJH@@@@ !BbOw~_x`BbOvH?_y?b@JH@jtpbOu?Kfshb@JmLJtpbOvRLG|n[NalzOy?b@H@KaOhbOvH?YHpdcC~_x`Bb@H@KaOhD~`","Phosphine, methylenebis[bis(3,5-dichlorophenyl)-","167109-97-9","C25H14Cl8P2","659.95","methylene bridge","https://pubs.acs.org/doi/abs/10.1021/om00006a026","Organometallics (1995), 14(6), 2781-9","","ZANJED (Pt, cluster)","MB-116","Opt, SPE, NoRh",""
"elVP@E@@O@Sp|dHiAJPJdKiCzPAdDY@hbDaHQDQDaHQHQHRAQDRDRDTBLrV^Naj@H@jJH@@Hh`@@@ !Bm?vmLHc}mpK~_w|n[NbH@k_}m?vmLJtpbOvRLK\B?g?~_w|n[NalzH`B?g|@KaOhbOvH?YHpdcBH@oy??g|@KaOhD~`","Phosphine, methylenebis[bis(3,5-difluorophenyl)-","167109-96-8","C25H14F8P2","528.31","methylene bridge","https://pubs.acs.org/doi/abs/10.1021/om00006a026<NL>","Organometallics (1995), 14(6), 2781-9<NL>","","0 structures","MB-117","Opt, SPE, NoRh",""
"elVP@F@@@bcpl|G@bXHNBLdTtRbtVbTRtTLRbRrxTBJvA^QhHJ@hJ`@``b@@@@ !B_Xa}mpJH_?x@?gvH?X`Bb@Jw_?y}b@C~@Oy??`JH?HbdiOrw_X`@?b@EARC}mpC~^e~diJRd_?{|mpJwH@TEHGvw@Ox","Phosphine, methylenebis[bis[2-(methylthio)phenyl]-","137053-23-7","C29H30P2S4","568.76","methylene bridge","https://www.sciencedirect.com/science/article/abs/pii/S0277538700860799?via%3Dihub","Polyhedron (1991), 10(13), 1549-57","","0 structures","MB-118","Opt, SPE, NoRh",""
"elVPBD@HDMC@OAcprRIIQQQIII[QQIIH{IsHHh{yxFjh@h@h@B`@J@@@@ !Bm?w~@Hc}m?rH?Oy?m?w~@Ox@bOvH?[_}m?rw?Hc|bOrH?Oy??`BH?_x@bOvw?Xc}m?rH?Hc|bOs~_?y?bOvH?Xc|?g|","Phosphonous acid, methylenebis-, tetrakis(4-methylphenyl) ester","115397-71-2","C29H30O4P2","504.49","methylene bridge","-","Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1972-1999) (1987), (9), 2117-24","","KIGFIP (Rh, bimetallic)","MB-119","Opt, SPE, NoRh",""
"elVPBD@ICIc`O@SprRJJIQJIQKKQQqJIKKQIpkXEyFh@hHJb@BBBH@@@@ !B?K^diG?~?[\@?b@EARA}bG?~?K\Bmwi_iJRdi@JH_?y}mpC~H@TEHGvH@Oy}mwvH_?xBbOrH@k]??g?~_X`@?gvw?X`","1,1′-Methylenebis[1,1-bis(2-methoxyphenyl)phosphine]","326607-38-9","C29H30O4P2","504.49","methylene bridge","https://onlinelibrary.wiley.com/doi/10.1002/adsc.200900085<NL>https://pubs.rsc.org/en/content/articlelanding/2007/dt/b700559h<NL>https://pubs.rsc.org/en/content/articlelanding/2001/cc/b010063n","Advanced Synthesis & Catalysis (2009), 351(10), 1637-1647<NL>Dalton Transactions (2007), (11), 1160-1168<NL>Patent<NL>Chemical Communications (Cambridge, United Kingdom) (2001), (8), 699-700<NL>Patent","","LEYSAK, LEYSAK01, XUVJII (Cr), TUCSOA (Ru)","MB-120","Opt, SPE, NoRh",""
"elVPDD@Na`O@SprRJJJIIJI[QQPiKKZSRJqIYx{zh@h@j@@X@`j@@@@ !B?g|@Kk\BbGvw_YHp[N_~@K]}?g?~_p@n`BxSzJRdmpJw_Vsg_uFRL@T`H@W~@K]}D~`SzJRdiJRw@iHpH@U}m{\B@h`","1,1-Dimethylethyl 3,3-bis(diphenylphosphino)propanoate","2243981-26-0","C31H32O2P2","498.53","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446","","0 structures","MS-37","Opt, SPE, NoRh",""
"elVPHD@N`O@SprRJJJIIJI[QQPiKKXkRJqIYx{zh@h@j@@X@`j@@@@ !Bb@HSzOy??`BH_W}QdcBH_[]}b@JH@aOhD~c~_p@nmpJH_YHpm?vH?YHp[N_~@K]}?g?~_p@n@Bzw@ha}[N^w_[\Bmwt","1,1-Bis(diphenylphosphino)-3-octanone","2243981-33-9","C32H34OP2","496.56","monosubstituted C-bridge","https://pubs.rsc.org/en/content/articlelanding/2018/cc/c8cc05890c<NL>","Chemical Communications (Cambridge, United Kingdom) (2018), 54(74), 10443-10446<NL>","","0 structures","MS-38","Opt, SPE, NoRh",""
"elVR@D@ICIc`O@SprRJJIQJIQKKQQqJIKKQIpkXEyFh@hHJb@BBBH@@@@ !B?K^diG?~?[\@?b@EARA}bG?~?K\Bmwi_iJRdi@JH_?y}mpC~H@TEHGvH@Oy}mwvH_?xBbOrH@k]??g?~_X`@?gvw?X`","2,2′,2′′,2′′′-(Methylenediphosphinidyne)tetrakis[N-methylbenzenamine]","1172577-78-4","C29H34N4P2","500.56","methylene bridge","https://pubs.acs.org/doi/10.1021/ic101883u<NL>https://pubs.acs.org/doi/10.1021/ic100165t<NL>https://pubs.rsc.org/en/content/articlelanding/2009/dt/b822170g","Inorganic Chemistry (2011), 50(12), 5361-5378<NL>Inorganic Chemistry (2010), 49(9), 4288-4300<NL>Dalton Transactions (2009), (21), 4213-4226","","NUZYEN, NUZYIR (Ru)","MB-121","Opt, SPE, NoRh",""
"elVT@D@@`PO@SprRJJJIIJI[QQEII[ESRJqJZ{Yzh@h@j@@`BBj@@@@ !B[Nbw@oy?@EFmLOx@mwvH_[]}[NalzK\BmpK~_p@nmpJmLK]}mwvH_YHp[N^w__y??g|@K`@nmpJH_Vsgmwvw@ox@mwt","N3-[2,2-Bis(diphenylphosphino)ethyl]-N1,N1-dimethyl-1,3-propanediamine","148763-09-1","C31H36N2P2","498.58","monosubstituted C-bridge","-","Zeitschrift fuer Anorganische und Allgemeine Chemie (1993), 619(5), 869-76","","PICPEW (Cr)","MS-39","Opt, SPE, NoRh",""
